turbine_id,timestamp,latitude,longitude,wind_speed_mps,power_output_kw,temperature_c
TURB_001,2024-06-01T00:00:00,35.6181,-90.9125,8.26,504.0,15.5
TURB_001,2024-06-01T01:00:00,35.6181,-90.9125,2.04,-35.5,16.8
TURB_001,2024-06-01T02:00:00,35.6181,-90.9125,12.43,1818.5,11.0
TURB_001,2024-06-01T03:00:00,35.6181,-90.9125,6.49,457.0,16.6
TURB_001,2024-06-01T04:00:00,35.6181,-90.9125,6.41,366.1,15.5
TURB_001,2024-06-01T05:00:00,35.6181,-90.9125,10.91,1156.7,13.4
TURB_001,2024-06-01T06:00:00,35.6181,-90.9125,6.82,25.0,16.5
TURB_001,2024-06-01T07:00:00,35.6181,-90.9125,8.78,678.6,13.8
TURB_001,2024-06-01T08:00:00,35.6181,-90.9125,3.75,-31.2,13.3
TURB_001,2024-06-01T09:00:00,35.6181,-90.9125,5.59,142.7,17.0
TURB_001,2024-06-01T10:00:00,35.6181,-90.9125,13.66,2583.0,16.3
TURB_001,2024-06-01T11:00:00,35.6181,-90.9125,7.78,86.6,14.9
TURB_001,2024-06-01T12:00:00,35.6181,-90.9125,8.18,1040.1,14.0
TURB_001,2024-06-01T13:00:00,35.6181,-90.9125,8.9,699.1,9.2
TURB_001,2024-06-01T14:00:00,35.6181,-90.9125,11.43,1643.1,19.0
TURB_001,2024-06-01T15:00:00,35.6181,-90.9125,5.27,427.1,8.0
TURB_001,2024-06-01T16:00:00,35.6181,-90.9125,9.76,1368.0,10.0
TURB_001,2024-06-01T17:00:00,35.6181,-90.9125,6.3,270.1,12.5
TURB_001,2024-06-01T18:00:00,35.6181,-90.9125,3.35,51.2,9.7
TURB_001,2024-06-01T19:00:00,35.6181,-90.9125,9.42,652.2,22.7
TURB_001,2024-06-01T20:00:00,35.6181,-90.9125,5.65,116.0,19.1
TURB_001,2024-06-01T21:00:00,35.6181,-90.9125,4.31,125.4,21.5
TURB_001,2024-06-01T22:00:00,35.6181,-90.9125,3.18,69.0,16.3
TURB_001,2024-06-01T23:00:00,35.6181,-90.9125,10.35,859.9,8.4
TURB_001,2024-06-02T00:00:00,35.6181,-90.9125,9.57,934.7,16.3
TURB_001,2024-06-02T01:00:00,35.6181,-90.9125,9.04,602.6,16.2
TURB_001,2024-06-02T02:00:00,35.6181,-90.9125,8.88,557.2,24.3
TURB_001,2024-06-02T03:00:00,35.6181,-90.9125,9.42,598.0,18.3
TURB_001,2024-06-02T04:00:00,35.6181,-90.9125,5.08,288.2,20.8
TURB_001,2024-06-02T05:00:00,35.6181,-90.9125,5.54,362.5,17.1
TURB_001,2024-06-02T06:00:00,35.6181,-90.9125,10.47,1525.8,13.8
TURB_001,2024-06-02T07:00:00,35.6181,-90.9125,5.74,11.1,10.9
TURB_001,2024-06-02T08:00:00,35.6181,-90.9125,7.77,537.1,16.4
